,X,rt,stimulus,key_press,ListLength,Trial_index,Phase,correct,ExperimentalPhase,Block,word1,word2,save,date,subject_id,trial_type,trial_index,time_elapsed,internal_node_id,response,cue,target,SequenceLength,sequence,letterSeen,queriedPosition,Stimulus_type,TrialType,timeMs,timeMin,score,correct_01,validTrials,validID,W2VWordPairsSim,SimBins,Error_type,W2VReponseCueSim,W2VReponseTargetSim
10,260,3266.29999995232,<h1>parrot</h1><br><br><br> Please press space as soon as you recall the target.,32,10,1,CuePresentation,True,True,2,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,537,1073987,0.0-537.0,turtle,parrot,turtle,,,,8,,,,,,1,False,False,0.65206421477411,4,Correct,999.0,999.0
11,262,2069.79999995232,<h1>thumb</h1><br><br><br> Please press space as soon as you recall the target.,32,10,2,CuePresentation,True,True,2,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,541,1082692,0.0-541.0,anklet,thumb,anklet,,,,6,,,,,,1,False,False,0.47748479244258,3,Correct,999.0,999.0
12,264,2798.79999995232,<h1>prune</h1><br><br><br> Please press space as soon as you recall the target.,32,10,3,CuePresentation,True,True,2,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,545,1088947,0.0-545.0,thorn,prune,thorn,,,,3,,,,,,1,False,False,0.999999978936332,5,Correct,999.0,999.0
13,266,2188.09999990463,<h1>eraser</h1><br><br><br> Please press space as soon as you recall the target.,32,10,4,CuePresentation,True,True,2,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,549,1094741,0.0-549.0,mirror,eraser,mirror,,,,4,,,,,,1,True,False,0.240063744300811,2,Correct,999.0,999.0
14,268,2054.70000004768,<h1>dough</h1><br><br><br> Please press space as soon as you recall the target.,32,10,5,CuePresentation,True,True,2,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,553,1102076,0.0-553.0,tomato,dough,tomato,,,,7,,,,,,1,True,False,0.445283558369461,3,Correct,999.0,999.0
15,270,8041.0,<h1>binder</h1><br><br><br> Please press space as soon as you recall the target.,32,10,6,CuePresentation,False,True,2,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,557,1114846,0.0-557.0,0,binder,weed,,,,1,,,,,,0,False,False,0.193818930259629,1,Omission,999.0,999.0
16,272,7525.19999980927,<h1>puddle</h1><br><br><br> Please press space as soon as you recall the target.,32,10,7,CuePresentation,True,True,2,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,561,1125660,0.0-561.0,sand,puddle,sand,,,,5,,,,,,1,True,False,0.676405431577326,4,Correct,999.0,999.0
17,274,7420.20000004768,<h1>flower</h1><br><br><br> Please press space as soon as you recall the target.,32,10,8,CuePresentation,False,True,2,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,565,1136276,0.0-565.0,petal,flower,orchid,,,,9,,,,,,0,True,False,1.0000000758957,5,Intrusion,0.7235823324891205,0.7235823324891205
18,276,7162.89999985695,<h1>leash</h1><br><br><br> Please press space as soon as you recall the target.,32,10,9,CuePresentation,False,True,2,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,569,1146751,0.0-569.0,0,leash,drink,,,,2,,,,,,0,True,False,0.108463556475143,1,Omission,999.0,999.0
19,278,4475.29999995232,<h1>skunk</h1><br><br><br> Please press space as soon as you recall the target.,32,10,10,CuePresentation,False,True,2,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,573,1153982,0.0-573.0,0,skunk,rope,,,,10,,,,,,0,False,False,0.323396853922166,2,Omission,999.0,999.0
20,364,2185.20000004768,<h1>iguana</h1><br><br><br> Please press space as soon as you recall the target.,32,8,1,CuePresentation,True,True,3,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,729,1422574,0.0-729.0,otter,iguana,otter,,,,8,,,,,,1,False,False,0.866536373711664,5,Correct,999.0,999.0
21,366,1943.0,<h1>camper</h1><br><br><br> Please press space as soon as you recall the target.,32,8,2,CuePresentation,True,True,3,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,733,1427777,0.0-733.0,closet,camper,closet,,,,4,,,,,,1,True,False,0.336314072358579,2,Correct,999.0,999.0
22,368,1492.59999990463,<h1>fudge</h1><br><br><br> Please press space as soon as you recall the target.,32,8,3,CuePresentation,True,True,3,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,737,1433101,0.0-737.0,rifle,fudge,rifle,,,,7,,,,,,1,True,False,0.0253189744766434,1,Correct,999.0,999.0
23,370,3908.40000009537,<h1>boot</h1><br><br><br> Please press space as soon as you recall the target.,32,8,4,CuePresentation,True,True,3,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,741,1440404,0.0-741.0,moss,boot,moss,,,,1,,,,,,1,False,False,0.223088852677818,2,Correct,999.0,999.0
24,372,1814.40000009537,<h1>throne</h1><br><br><br> Please press space as soon as you recall the target.,32,8,5,CuePresentation,True,True,3,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,745,1445841,0.0-745.0,donket,throne,donkey,,,,6,,,,,,1,False,False,0.108564855475739,1,Correct,999.0,999.0
25,374,3346.5,<h1>kimono</h1><br><br><br> Please press space as soon as you recall the target.,32,8,6,CuePresentation,True,True,3,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,749,1452598,0.0-749.0,locket,kimono,locket,,,,5,,,,,,1,True,False,0.0103429243642662,1,Correct,999.0,999.0
26,376,1572.80000019073,<h1>drain</h1><br><br><br> Please press space as soon as you recall the target.,32,8,7,CuePresentation,True,True,3,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,753,1457542,0.0-753.0,sink,drain,sink,,,,3,,,,,,1,False,False,0.631240283731934,4,Correct,999.0,999.0
27,378,5564.79999995232,<h1>spool</h1><br><br><br> Please press space as soon as you recall the target.,32,8,8,CuePresentation,False,True,3,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,757,1466240,0.0-757.0,0,spool,chisel,,,,2,,,,,,0,True,False,0.561989970663317,3,Omission,999.0,999.0
28,500,10944.6999998093,<h1>raft</h1><br><br><br> Please press space as soon as you recall the target.,32,20,1,CuePresentation,False,True,4,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,1009,1933390,0.0-1009.0,spool,raft,shorts,,,,11,,,,,,0,False,False,0.213414433174442,2,Intrusion,0.354477196328855,0.23299614859420345
29,502,3061.79999995232,<h1>quiche</h1><br><br><br> Please press space as soon as you recall the target.,32,20,2,CuePresentation,True,True,4,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,1013,1940578,0.0-1013.0,pasta,quiche,pasta,,,,18,,,,,,1,False,False,1.00000006075905,5,Correct,999.0,999.0
30,504,15140.2999999523,<h1>slime</h1><br><br><br> Please press space as soon as you recall the target.,32,20,3,CuePresentation,False,True,4,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,1017,1959121,0.0-1017.0,0,slime,possum,,,,4,,,,,,0,True,False,0.299240600347622,2,Omission,999.0,999.0
31,506,1643.09999990463,<h1>flag</h1><br><br><br> Please press space as soon as you recall the target.,32,20,4,CuePresentation,True,True,4,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,1021,1964001,0.0-1021.0,banner,flag,banner,,,,3,,,,,,1,False,False,0.616673037290324,4,Correct,999.0,999.0
32,508,2286.70000004768,<h1>horse</h1><br><br><br> Please press space as soon as you recall the target.,32,20,5,CuePresentation,True,True,4,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,1025,1969363,0.0-1025.0,pony,horse,pony,,,,10,,,,,,1,False,False,0.653305820007919,4,Correct,999.0,999.0
33,510,4623.59999990463,<h1>bonsai</h1><br><br><br> Please press space as soon as you recall the target.,32,20,6,CuePresentation,False,True,4,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,1029,1977058,0.0-1029.0,petal,bonsai,tulip,,,,1,,,,,,0,False,False,0.549562972213874,3,Intrusion,0.4924970792063717,0.6693102017279225
34,512,5700.29999995232,<h1>floss</h1><br><br><br> Please press space as soon as you recall the target.,32,20,7,CuePresentation,False,True,4,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,1033,1985906,0.0-1033.0,0,floss,powder,,,,9,,,,,,0,True,False,0.48735431534364,3,Omission,999.0,999.0
35,514,5283.59999990463,<h1>koala</h1><br><br><br> Please press space as soon as you recall the target.,32,20,8,CuePresentation,True,True,4,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,1037,1994041,0.0-1037.0,snake,koala,snake,,,,2,,,,,,1,True,False,0.674045570966141,4,Correct,999.0,999.0
36,516,1717.5,<h1>visor</h1><br><br><br> Please press space as soon as you recall the target.,32,20,9,CuePresentation,True,True,4,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,1041,1999135,0.0-1041.0,helmet,visor,helmet,,,,7,,,,,,1,True,False,1.0000000639651,5,Correct,999.0,999.0
37,518,2085.70000004768,<h1>blower</h1><br><br><br> Please press space as soon as you recall the target.,32,20,10,CuePresentation,False,True,4,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,1045,2004407,0.0-1045.0,tor,blower,faucet,,,,5,,,,,,0,True,False,0.127666791564387,1,Intrusion,0.00021644351103304498,0.043832392806523235
38,629,5787.90000000596,<h1>sandal</h1><br><br><br> Please press space as soon as you recall the target.,32,16,1,CuePresentation,True,True,1,,,True,11_8_2023_23_32_43,0c8mkfytab041ba,html-keyboard-response,217,379868,0.0-217.0,insole,sandal,insole,,,,1,,,,,,1,False,True,0.854520532339466,5,Correct,999.0,999.0
39,631,1627.30000001192,<h1>eraser</h1><br><br><br> Please press space as soon as you recall the target.,32,16,2,CuePresentation,True,True,1,,,True,11_8_2023_23_32_43,0c8mkfytab041ba,html-keyboard-response,221,384787,0.0-221.0,mirror,eraser,mirror,,,,11,,,,,,1,False,True,0.240063744300811,2,Correct,999.0,999.0
40,633,1631.80000001192,<h1>button</h1><br><br><br> Please press space as soon as you recall the target.,32,16,3,CuePresentation,True,True,1,,,True,11_8_2023_23_32_43,0c8mkfytab041ba,html-keyboard-response,225,390023,0.0-225.0,knob,button,knob,,,,7,,,,,,1,True,True,0.874543616124306,5,Correct,999.0,999.0
41,635,8903.5,<h1>buggy</h1><br><br><br> Please press space as soon as you recall the target.,32,16,4,CuePresentation,False,True,1,,,True,11_8_2023_23_32_43,0c8mkfytab041ba,html-keyboard-response,229,401956,0.0-229.0,kart,buggy,cart,,,,9,,,,,,0,True,True,0.428620405334395,3,Intrusion,0.7996345790893593,0.4125274446699505
42,637,3171.60000002384,<h1>hanger</h1><br><br><br> Please press space as soon as you recall the target.,32,16,5,CuePresentation,True,True,1,,,True,11_8_2023_23_32_43,0c8mkfytab041ba,html-keyboard-response,233,408099,0.0-233.0,lime,hanger,lime,,,,16,,,,,,1,False,True,0.177170693013488,1,Correct,999.0,999.0
43,639,4020.40000000596,<h1>possum</h1><br><br><br> Please press space as soon as you recall the target.,32,16,6,CuePresentation,False,True,1,,,True,11_8_2023_23_32_43,0c8mkfytab041ba,html-keyboard-response,237,415139,0.0-237.0,fungus,possum,slime,,,,5,,,,,,0,True,True,0.299240600347622,2,Intrusion,0.39073356133768394,0.42952986627931994
44,641,991.800000011921,<h1>bacon</h1><br><br><br> Please press space as soon as you recall the target.,32,16,7,CuePresentation,True,True,1,,,True,11_8_2023_23_32_43,0c8mkfytab041ba,html-keyboard-response,241,419638,0.0-241.0,hotdog,bacon,hotdog,,,,4,,,,,,1,True,True,0.654814915149301,4,Correct,999.0,999.0
45,643,2404.10000002384,<h1>kite</h1><br><br><br> Please press space as soon as you recall the target.,32,16,8,CuePresentation,True,True,1,,,True,11_8_2023_23_32_43,0c8mkfytab041ba,html-keyboard-response,245,425222,0.0-245.0,record,kite,record,,,,2,,,,,,1,True,True,0.150266880798289,1,Correct,999.0,999.0
46,645,1860.89999997616,<h1>moth</h1><br><br><br> Please press space as soon as you recall the target.,32,16,9,CuePresentation,True,True,1,,,True,11_8_2023_23_32_43,0c8mkfytab041ba,html-keyboard-response,249,430141,0.0-249.0,fungus,moth,fungus,,,,3,,,,,,1,False,True,0.421186232744235,3,Correct,999.0,999.0
47,647,1300.80000001192,<h1>folder</h1><br><br><br> Please press space as soon as you recall the target.,32,16,10,CuePresentation,True,True,1,,,True,11_8_2023_23_32_43,0c8mkfytab041ba,html-keyboard-response,253,434564,0.0-253.0,file,folder,file,,,,15,,,,,,1,False,True,0.761074923120327,4,Correct,999.0,999.0
48,763,5079.5,<h1>thumb</h1><br><br><br> Please press space as soon as you recall the target.,32,18,1,CuePresentation,False,True,2,,,True,11_8_2023_23_32_43,0c8mkfytab041ba,html-keyboard-response,489,831421,0.0-489.0,0,thumb,anklet,,,,9,,,,,,0,True,True,0.47748479244258,3,Omission,999.0,999.0
49,765,2062.30000001192,<h1>jacket</h1><br><br><br> Please press space as soon as you recall the target.,32,18,2,CuePresentation,True,True,2,,,True,11_8_2023_23_32_43,0c8mkfytab041ba,html-keyboard-response,493,837238,0.0-493.0,blazer,jacket,blazer,,,,15,,,,,,1,False,True,1.00000002728999,5,Correct,999.0,999.0
50,767,4234.19999998808,<h1>tick</h1><br><br><br> Please press space as soon as you recall the target.,32,18,3,CuePresentation,True,True,2,,,True,11_8_2023_23_32_43,0c8mkfytab041ba,html-keyboard-response,497,845784,0.0-497.0,clay,tick,clay,,,,5,,,,,,1,True,True,0.0153055198591734,1,Correct,999.0,999.0
51,769,2051.80000001192,<h1>crow</h1><br><br><br> Please press space as soon as you recall the target.,32,18,4,CuePresentation,True,True,2,,,True,11_8_2023_23_32_43,0c8mkfytab041ba,html-keyboard-response,501,850892,0.0-501.0,bird,crow,bird,,,,1,,,,,,1,False,True,0.999999881451747,5,Correct,999.0,999.0
52,771,888.600000023842,<h1>chick</h1><br><br><br> Please press space as soon as you recall the target.,32,18,5,CuePresentation,True,True,2,,,True,11_8_2023_23_32_43,0c8mkfytab041ba,html-keyboard-response,505,854546,0.0-505.0,girl,chick,girl,,,,4,,,,,,1,True,True,0.624724496623479,4,Correct,999.0,999.0
53,773,1982.69999998808,<h1>kayak</h1><br><br><br> Please press space as soon as you recall the target.,32,18,6,CuePresentation,True,True,2,,,True,11_8_2023_23_32_43,0c8mkfytab041ba,html-keyboard-response,509,859575,0.0-509.0,block,kayak,block,,,,16,,,,,,1,False,True,0.234036216185256,2,Correct,999.0,999.0
54,775,1172.09999999404,<h1>amber</h1><br><br><br> Please press space as soon as you recall the target.,32,18,7,CuePresentation,True,True,2,,,True,11_8_2023_23_32_43,0c8mkfytab041ba,html-keyboard-response,513,863977,0.0-513.0,orange,amber,orange,,,,2,,,,,,1,True,True,0.999999963859867,5,Correct,999.0,999.0
55,777,1869.39999997616,<h1>wand</h1><br><br><br> Please press space as soon as you recall the target.,32,18,8,CuePresentation,True,True,2,,,True,11_8_2023_23_32_43,0c8mkfytab041ba,html-keyboard-response,517,868926,0.0-517.0,money,wand,money,,,,7,,,,,,1,True,True,0.215125963179727,2,Correct,999.0,999.0
56,779,1709.69999998808,<h1>lion</h1><br><br><br> Please press space as soon as you recall the target.,32,18,9,CuePresentation,True,True,2,,,True,11_8_2023_23_32_43,0c8mkfytab041ba,html-keyboard-response,521,873703,0.0-521.0,fossil,lion,fossil,,,,11,,,,,,1,False,True,0.196524623623291,1,Correct,999.0,999.0
57,781,9931.29999998212,<h1>blind</h1><br><br><br> Please press space as soon as you recall the target.,32,18,10,CuePresentation,False,True,2,,,True,11_8_2023_23_32_43,0c8mkfytab041ba,html-keyboard-response,525,886738,0.0-525.0,0,blind,switch,,,,17,,,,,,0,False,True,0.252173754849272,2,Omission,999.0,999.0
58,861,1677.70000001788,<h1>badger</h1><br><br><br> Please press space as soon as you recall the target.,32,6,1,CuePresentation,True,True,3,,,True,11_8_2023_23_32_43,0c8mkfytab041ba,html-keyboard-response,665,1099400,0.0-665.0,acorn,badger,acorn,,,,1,,,,,,1,False,True,0.168680108473489,1,Correct,999.0,999.0
59,863,1516.59999999404,<h1>pony</h1><br><br><br> Please press space as soon as you recall the target.,32,6,2,CuePresentation,True,True,3,,,True,11_8_2023_23_32_43,0c8mkfytab041ba,html-keyboard-response,669,1104299,0.0-669.0,horse,pony,horse,,,,4,,,,,,1,True,True,0.653305820007919,4,Correct,999.0,999.0
60,865,1394.80000001192,<h1>tomato</h1><br><br><br> Please press space as soon as you recall the target.,32,6,3,CuePresentation,True,True,3,,,True,11_8_2023_23_32_43,0c8mkfytab041ba,html-keyboard-response,673,1108792,0.0-673.0,dough,tomato,dough,,,,5,,,,,,1,True,True,0.445283558369461,3,Correct,999.0,999.0
61,867,1823.80000001192,<h1>pulley</h1><br><br><br> Please press space as soon as you recall the target.,32,6,4,CuePresentation,True,True,3,,,True,11_8_2023_23_32_43,0c8mkfytab041ba,html-keyboard-response,677,1113532,0.0-677.0,crank,pulley,crank,,,,3,,,,,,1,False,True,0.999999982961594,5,Correct,999.0,999.0
62,869,1013.89999997616,<h1>pipe</h1><br><br><br> Please press space as soon as you recall the target.,32,6,5,CuePresentation,True,True,3,,,True,11_8_2023_23_32_43,0c8mkfytab041ba,html-keyboard-response,681,1118166,0.0-681.0,paper,pipe,paper,,,,6,,,,,,1,False,True,0.258097566940599,2,Correct,999.0,999.0
63,871,2354.70000001788,<h1>beetle</h1><br><br><br> Please press space as soon as you recall the target.,32,6,6,CuePresentation,True,True,3,,,True,11_8_2023_23_32_43,0c8mkfytab041ba,html-keyboard-response,685,1123569,0.0-685.0,kitten,beetle,kitten,,,,2,,,,,,1,True,True,0.316639554830722,2,Correct,999.0,999.0
64,1017,2656.69999998808,<h1>banner</h1><br><br><br> Please press space as soon as you recall the target.,32,28,1,CuePresentation,True,True,4,,,True,11_8_2023_23_32_43,0c8mkfytab041ba,html-keyboard-response,1001,1656678,0.0-1001.0,flag,banner,flag,,,,7,,,,,,1,True,True,0.616673037290324,4,Correct,999.0,999.0
65,1019,3631.0,<h1>bonnet</h1><br><br><br> Please press space as soon as you recall the target.,32,28,2,CuePresentation,False,True,4,,,True,11_8_2023_23_32_43,0c8mkfytab041ba,html-keyboard-response,1005,1663050,0.0-1005.0,hat,bonnet,scoop,,,,13,,,,,,0,False,True,0.295501525339056,2,Intrusion,0.40031417405515124,0.24828037014616158
66,1021,2277.90000000596,<h1>makeup</h1><br><br><br> Please press space as soon as you recall the target.,32,28,3,CuePresentation,True,True,4,,,True,11_8_2023_23_32_43,0c8mkfytab041ba,html-keyboard-response,1009,1668018,0.0-1009.0,paint,makeup,paint,,,,3,,,,,,1,False,True,0.505935810169567,3,Correct,999.0,999.0
67,1023,1057.5,<h1>gravy</h1><br><br><br> Please press space as soon as you recall the target.,32,28,4,CuePresentation,True,True,4,,,True,11_8_2023_23_32_43,0c8mkfytab041ba,html-keyboard-response,1013,1672150,0.0-1013.0,grits,gravy,grits,,,,5,,,,,,1,True,True,0.999999922215502,5,Correct,999.0,999.0
68,1025,1382.29999998212,<h1>tripod</h1><br><br><br> Please press space as soon as you recall the target.,32,28,5,CuePresentation,True,True,4,,,True,11_8_2023_23_32_43,0c8mkfytab041ba,html-keyboard-response,1017,1676408,0.0-1017.0,heater,tripod,heater,,,,4,,,,,,1,True,True,0.426391146408292,3,Correct,999.0,999.0
69,1027,5883.19999998808,<h1>crutch</h1><br><br><br> Please press space as soon as you recall the target.,32,28,6,CuePresentation,False,True,4,,,True,11_8_2023_23_32_43,0c8mkfytab041ba,html-keyboard-response,1021,1685192,0.0-1021.0,clinch,crutch,camel,,,,2,,,,,,0,True,True,0.366853562408624,2,Intrusion,0.07283976390306734,0.15420791166431203
70,1029,3996.59999999404,<h1>watch</h1><br><br><br> Please press space as soon as you recall the target.,32,28,7,CuePresentation,True,True,4,,,True,11_8_2023_23_32_43,0c8mkfytab041ba,html-keyboard-response,1025,1692433,0.0-1025.0,sponge,watch,sponge,,,,9,,,,,,1,True,True,0.17659200800734,1,Correct,999.0,999.0
71,1031,903.90000000596,<h1>muffin</h1><br><br><br> Please press space as soon as you recall the target.,32,28,8,CuePresentation,True,True,4,,,True,11_8_2023_23_32_43,0c8mkfytab041ba,html-keyboard-response,1029,1696524,0.0-1029.0,crumb,muffin,crumb,,,,15,,,,,,1,False,True,0.999999975253751,5,Correct,999.0,999.0
72,1033,5156.59999999404,<h1>apple</h1><br><br><br> Please press space as soon as you recall the target.,32,28,9,CuePresentation,False,True,4,,,True,11_8_2023_23_32_43,0c8mkfytab041ba,html-keyboard-response,1033,1704929,0.0-1033.0,0,apple,kiwi,,,,19,,,,,,0,False,True,0.630507650883796,4,Omission,999.0,999.0
73,1035,1484.5,<h1>gauze</h1><br><br><br> Please press space as soon as you recall the target.,32,28,10,CuePresentation,True,True,4,,,True,11_8_2023_23_32_43,0c8mkfytab041ba,html-keyboard-response,1037,1709424,0.0-1037.0,shelf,gauze,shelf,,,,17,,,,,,1,False,True,0.379523785471593,2,Correct,999.0,999.0
74,1182,1826.0,<h1>amber</h1><br><br><br> Please press space as soon as you recall the target.,32,28,1,CuePresentation,True,True,1,,,True,8_8_2023_11_36_48,0f6nydv2yw72ruv,html-keyboard-response,313,691389,0.0-313.0,orange,amber,orange,,,,7,,,,,,1,True,True,0.999999963859867,5,Correct,999.0,999.0
75,1184,2507.0,<h1>cereal</h1><br><br><br> Please press space as soon as you recall the target.,32,28,2,CuePresentation,True,True,1,,,True,8_8_2023_11_36_48,0f6nydv2yw72ruv,html-keyboard-response,317,697957,0.0-317.0,cookie,cereal,cookie,,,,10,,,,,,1,False,True,0.432807624318706,3,Correct,999.0,999.0
76,1186,1442.0,<h1>altar</h1><br><br><br> Please press space as soon as you recall the target.,32,28,3,CuePresentation,True,True,1,,,True,8_8_2023_11_36_48,0f6nydv2yw72ruv,html-keyboard-response,321,703581,0.0-321.0,rosary,altar,rosary,,,,18,,,,,,1,False,True,0.461896339092241,3,Correct,999.0,999.0
77,1188,2273.0,<h1>binder</h1><br><br><br> Please press space as soon as you recall the target.,32,28,4,CuePresentation,True,True,1,,,True,8_8_2023_11_36_48,0f6nydv2yw72ruv,html-keyboard-response,325,710031,0.0-325.0,weed,binder,weed,,,,4,,,,,,1,True,True,0.193818930259629,1,Correct,999.0,999.0
78,1190,1076.0,<h1>sandal</h1><br><br><br> Please press space as soon as you recall the target.,32,28,5,CuePresentation,True,True,1,,,True,8_8_2023_11_36_48,0f6nydv2yw72ruv,html-keyboard-response,329,714652,0.0-329.0,insole,sandal,insole,,,,25,,,,,,1,False,True,0.854520532339466,5,Correct,999.0,999.0
79,1192,1507.0,<h1>blind</h1><br><br><br> Please press space as soon as you recall the target.,32,28,6,CuePresentation,True,True,1,,,True,8_8_2023_11_36_48,0f6nydv2yw72ruv,html-keyboard-response,333,719894,0.0-333.0,switch,blind,switch,,,,14,,,,,,1,False,True,0.252173754849272,2,Correct,999.0,999.0
80,1194,1071.0,<h1>nose</h1><br><br><br> Please press space as soon as you recall the target.,32,28,7,CuePresentation,True,True,1,,,True,8_8_2023_11_36_48,0f6nydv2yw72ruv,html-keyboard-response,337,726154,0.0-337.0,mouth,nose,mouth,,,,3,,,,,,1,False,True,0.661824468395778,4,Correct,999.0,999.0
81,1196,1482.0,<h1>ring</h1><br><br><br> Please press space as soon as you recall the target.,32,28,8,CuePresentation,True,True,1,,,True,8_8_2023_11_36_48,0f6nydv2yw72ruv,html-keyboard-response,341,730805,0.0-341.0,prism,ring,prism,,,,9,,,,,,1,True,True,0.359066430514316,2,Correct,999.0,999.0
82,1198,1071.0,<h1>jersey</h1><br><br><br> Please press space as soon as you recall the target.,32,28,9,CuePresentation,True,True,1,,,True,8_8_2023_11_36_48,0f6nydv2yw72ruv,html-keyboard-response,345,735077,0.0-345.0,shirt,jersey,shirt,,,,5,,,,,,1,True,True,0.649010826232407,4,Correct,999.0,999.0
